mark_status,station_key,station_name,display_name,available_lines,click_x_px,click_y_px,click_x_pct,click_y_pct,click_radius_px,click_shape,source_method,manual_override_note
완료,선릉,선릉,선릉역,2,2776,2116,54.21875000000001,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,역삼,역삼,역삼역,2,2696,2116,52.65625000000001,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,강남,강남,강남역,2,2616,2116,51.09375000000001,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,교대,교대,교대역,"2,3",2480,2116,48.4375,73.47222222222223,42,circle,auto_from_visual_nodes_avg,
완료,서초,서초,서초역,2,2384,2116,46.5625,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,방배,방배,방배역,2,2296,2116,44.84375,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,사당,사당,사당역,"2,4",2200,2116,42.96875,73.47222222222223,42,circle,auto_from_visual_nodes_avg,
완료,낙성대,낙성대,낙성대역,2,2092,2116,40.859375,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,서울대입구,서울대입구,서울대입구역,2,1984,2116,38.75,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,봉천,봉천,봉천역,2,1876,2116,36.640625,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,신림,신림,신림역,2,1768,2116,34.53125,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,신대방,신대방,신대방역,2,1660,2116,32.421875,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,구로디지털단지,구로디지털단지,구로디지털단지역,2,1552,2116,30.312499999999996,73.47222222222223,24,circle,auto_from_visual_nodes_avg,
완료,대림,대림,대림역,"2,7",1424,1964,27.8125,68.19444444444444,42,circle,auto_from_visual_nodes_avg,
완료,신도림,신도림,신도림역,2,1424,1820,27.8125,63.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,문래,문래,문래역,2,1424,1740,27.8125,60.416666666666664,24,circle,auto_from_visual_nodes_avg,
완료,영등포구청,영등포구청,영등포구청역,"2,5",1424,1660,27.8125,57.638888888888886,42,circle,auto_from_visual_nodes_avg,
