station_no,station_key,station_name,display_name,available_lines,candidate_station_uids,project_branches,is_transfer_station,is_event_station,alias_or_note,memo,n_lines,is_branch_node
93,노원,노원,노원역,"4,7",4_노원;7_노원,4:main;7:main,True,False,,,2,False
94,창동,창동,창동역,4,4_창동,4:main,False,False,,,1,False
95,쌍문,쌍문,쌍문역,4,4_쌍문,4:main,False,False,,,1,False
96,수유,수유,수유역,4,4_수유,4:main,False,False,,,1,False
97,미아,미아,미아역,4,4_미아,4:main,False,False,,,1,False
98,미아사거리,미아사거리,미아사거리역,4,4_미아사거리,4:main,False,False,,,1,False
99,길음,길음,길음역,4,4_길음,4:main,False,False,,,1,False
100,성신여대입구,성신여대입구,성신여대입구역,4,4_성신여대입구,4:main,False,False,,,1,False
101,한성대입구,한성대입구,한성대입구역,4,4_한성대입구,4:main,False,False,,,1,False
102,혜화,혜화,혜화역,4,4_혜화,4:main,False,True,,,1,False
103,명동,명동,명동역,4,4_명동,4:main,False,False,,,1,False
104,회현,회현,회현역,4,4_회현,4:main,False,False,,,1,False
105,숙대입구,숙대입구,숙대입구역,4,4_숙대입구,4:main,False,True,숙대입구(갈월),,1,False
106,삼각지,삼각지,삼각지역,"4,6",4_삼각지;6_삼각지,4:main;6:main,True,False,,,2,False
107,신용산,신용산,신용산역,4,4_신용산,4:main,False,False,,,1,False
108,이촌,이촌,이촌역,4,4_이촌,4:main,False,False,,,1,False
109,동작,동작,동작역,4,4_동작,4:main,False,False,,,1,False
110,이수,이수,이수역,"4,7",4_이수;7_이수,4:main;7:main,True,False,총신대입구(이수),,2,False
111,남태령,남태령,남태령역,4,4_남태령,4:main,False,False,,,1,False
112,방화,방화,방화역,5,5_방화,5:common,False,False,,,1,False
113,개화산,개화산,개화산역,5,5_개화산,5:common,False,False,,,1,False
114,김포공항,김포공항,김포공항역,5,5_김포공항,5:common,False,False,,,1,False
115,송정,송정,송정역,5,5_송정,5:common,False,False,,,1,False
116,마곡,마곡,마곡역,5,5_마곡,5:common,False,False,,,1,False
117,발산,발산,발산역,5,5_발산,5:common,False,False,,,1,False
118,우장산,우장산,우장산역,5,5_우장산,5:common,False,False,,,1,False
119,화곡,화곡,화곡역,5,5_화곡,5:common,False,False,,,1,False
120,신정,신정,신정역,5,5_신정,5:common,False,False,,,1,False
121,목동,목동,목동역,5,5_목동,5:common,False,False,,,1,False
122,오목교,오목교,오목교역,5,5_오목교,5:common,False,False,,,1,False
123,양평,양평,양평역,5,5_양평,5:common,False,False,,,1,False
124,영등포시장,영등포시장,영등포시장역,5,5_영등포시장,5:common,False,False,,,1,False
125,신길,신길,신길역,5,5_신길,5:common,False,False,,,1,False
126,여의도,여의도,여의도역,5,5_여의도,5:common,False,False,,,1,False
127,여의나루,여의나루,여의나루역,5,5_여의나루,5:common,False,True,,,1,False
128,마포,마포,마포역,5,5_마포,5:common,False,False,,,1,False
129,공덕,공덕,공덕역,"5,6",5_공덕;6_공덕,5:common;6:main,True,False,,,2,False
130,애오개,애오개,애오개역,5,5_애오개,5:common,False,False,,,1,False
131,서대문,서대문,서대문역,5,5_서대문,5:common,False,False,,,1,False
132,광화문,광화문,광화문역,5,5_광화문,5:common,False,True,광화문(세종문화회관),,1,False
133,청구,청구,청구역,"5,6",5_청구;6_청구,5:common;6:main,True,False,,,2,False
134,신금호,신금호,신금호역,5,5_신금호,5:common,False,False,,,1,False
135,행당,행당,행당역,5,5_행당,5:common,False,False,,,1,False
136,마장,마장,마장역,5,5_마장,5:common,False,False,,,1,False
137,답십리,답십리,답십리역,5,5_답십리,5:common,False,False,,,1,False
138,장한평,장한평,장한평역,5,5_장한평,5:common,False,False,,,1,False
139,군자,군자,군자역,"5,7",5_군자;7_군자,5:common;7:main,True,False,,,2,False
140,아차산,아차산,아차산역,5,5_아차산,5:common,False,False,,,1,False
141,광나루,광나루,광나루역,5,5_광나루,5:common,False,True,,,1,False
142,천호,천호,천호역,"5,8",5_천호;8_천호,5:common;8:main,True,False,,,2,False
143,강동,강동,강동역,5,5_강동;5_강동@macheon_branch,5:common;5:hanam_branch;5:macheon_branch,False,False,,,1,True
144,길동,길동,길동역,5,5_길동,5:hanam_branch,False,False,,,1,False
145,굽은다리,굽은다리,굽은다리역,5,5_굽은다리,5:hanam_branch,False,False,,,1,False
146,명일,명일,명일역,5,5_명일,5:hanam_branch,False,False,,,1,False
147,고덕,고덕,고덕역,5,5_고덕,5:hanam_branch,False,False,,,1,False
148,상일동,상일동,상일동역,5,5_상일동,5:hanam_branch,False,False,,,1,False
149,강일,강일,강일역,5,5_강일,5:hanam_branch,False,False,,,1,False
150,미사,미사,미사역,5,5_미사,5:hanam_branch,False,False,,,1,False
151,하남풍산,하남풍산,하남풍산역,5,5_하남풍산,5:hanam_branch,False,False,,,1,False
152,하남시청,하남시청,하남시청역,5,5_하남시청,5:hanam_branch,False,False,하남시청(덕풍·신장),,1,False
153,하남검단산,하남검단산,하남검단산역,5,5_하남검단산,5:hanam_branch,False,False,,,1,False
154,둔촌동,둔촌동,둔촌동역,5,5_둔촌동,5:macheon_branch,False,False,,,1,False
155,올림픽공원,올림픽공원,올림픽공원역,5,5_올림픽공원,5:macheon_branch,False,True,,,1,False
156,방이,방이,방이역,5,5_방이,5:macheon_branch,False,False,,,1,False
157,개롱,개롱,개롱역,5,5_개롱,5:macheon_branch,False,False,,,1,False
158,거여,거여,거여역,5,5_거여,5:macheon_branch,False,False,,,1,False
159,마천,마천,마천역,5,5_마천,5:macheon_branch,False,False,,,1,False
160,응암,응암,응암역,6,6_응암;6_응암@eungam_loop,6:main,False,False,,,1,True
161,역촌,역촌,역촌역,6,6_역촌,6:main,False,False,,,1,False
162,독바위,독바위,독바위역,6,6_독바위,6:main,False,False,,,1,False
163,구산,구산,구산역,6,6_구산,6:main,False,False,,,1,False
164,새절,새절,새절역,6,6_새절,6:main,False,False,,,1,False
165,증산,증산,증산역,6,6_증산,6:main,False,False,,,1,False
166,디지털미디어시티,디지털미디어시티,디지털미디어시티역,6,6_디지털미디어시티,6:main,False,False,,,1,False
167,월드컵경기장,월드컵경기장,월드컵경기장역,6,6_월드컵경기장,6:main,False,True,월드컵경기장(성산),,1,False
168,마포구청,마포구청,마포구청역,6,6_마포구청,6:main,False,False,,,1,False
169,망원,망원,망원역,6,6_망원,6:main,False,False,,,1,False
170,상수,상수,상수역,6,6_상수,6:main,False,True,,,1,False
171,광흥창,광흥창,광흥창역,6,6_광흥창,6:main,False,False,,,1,False
172,대흥,대흥,대흥역,6,6_대흥,6:main,False,False,,,1,False
173,효창공원앞,효창공원앞,효창공원앞역,6,6_효창공원앞,6:main,False,False,,,1,False
174,녹사평,녹사평,녹사평역,6,6_녹사평,6:main,False,False,,,1,False
175,이태원,이태원,이태원역,6,6_이태원,6:main,False,True,,,1,False
176,한강진,한강진,한강진역,6,6_한강진,6:main,False,True,,,1,False
177,버티고개,버티고개,버티고개역,6,6_버티고개,6:main,False,False,,,1,False
178,창신,창신,창신역,6,6_창신,6:main,False,False,,,1,False
179,보문,보문,보문역,6,6_보문,6:main,False,False,,,1,False
180,안암,안암,안암역,6,6_안암,6:main,False,True,안암(고대병원앞),,1,False
181,고려대,고려대,고려대역,6,6_고려대,6:main,False,True,고려대(종암),,1,False
182,월곡,월곡,월곡역,6,6_월곡,6:main,False,False,,,1,False
183,상월곡,상월곡,상월곡역,6,6_상월곡,6:main,False,False,,,1,False
184,돌곶이,돌곶이,돌곶이역,6,6_돌곶이,6:main,False,False,,,1,False
185,석계,석계,석계역,6,6_석계,6:main,False,False,,,1,False
186,태릉입구,태릉입구,태릉입구역,"6,7",6_태릉입구;7_태릉입구,6:main;7:main,True,False,,,2,False
187,화랑대,화랑대,화랑대역,6,6_화랑대,6:main,False,False,,,1,False
188,봉화산,봉화산,봉화산역,6,6_봉화산,6:main,False,False,,,1,False
189,신내,신내,신내역,6,6_신내,6:main,False,False,,,1,False
190,장암,장암,장암역,7,7_장암,7:main,False,False,,,1,False
191,도봉산,도봉산,도봉산역,7,7_도봉산,7:main,False,False,,,1,False
192,수락산,수락산,수락산역,7,7_수락산,7:main,False,False,,,1,False
193,마들,마들,마들역,7,7_마들,7:main,False,False,,,1,False
194,중계,중계,중계역,7,7_중계,7:main,False,False,,,1,False
195,하계,하계,하계역,7,7_하계,7:main,False,False,,,1,False
196,공릉,공릉,공릉역,7,7_공릉,7:main,False,False,,,1,False
197,먹골,먹골,먹골역,7,7_먹골,7:main,False,False,,,1,False
198,중화,중화,중화역,7,7_중화,7:main,False,False,,,1,False
199,상봉,상봉,상봉역,7,7_상봉,7:main,False,False,,,1,False
200,면목,면목,면목역,7,7_면목,7:main,False,False,,,1,False
201,사가정,사가정,사가정역,7,7_사가정,7:main,False,False,,,1,False
202,용마산,용마산,용마산역,7,7_용마산,7:main,False,False,,,1,False
203,중곡,중곡,중곡역,7,7_중곡,7:main,False,False,,,1,False
204,어린이대공원,어린이대공원,어린이대공원역,7,7_어린이대공원,7:main,False,False,,,1,False
205,자양,자양,자양역,7,7_자양,7:main,False,False,자양,,1,False
206,청담,청담,청담역,7,7_청담,7:main,False,False,,,1,False
207,강남구청,강남구청,강남구청역,7,7_강남구청,7:main,False,False,,,1,False
208,학동,학동,학동역,7,7_학동,7:main,False,False,,,1,False
209,논현,논현,논현역,7,7_논현,7:main,False,False,,,1,False
210,반포,반포,반포역,7,7_반포,7:main,False,False,,,1,False
211,내방,내방,내방역,7,7_내방,7:main,False,False,,,1,False
212,남성,남성,남성역,7,7_남성,7:main,False,False,,,1,False
213,숭실대입구,숭실대입구,숭실대입구역,7,7_숭실대입구,7:main,False,False,,,1,False
214,상도,상도,상도역,7,7_상도,7:main,False,False,,,1,False
215,장승배기,장승배기,장승배기역,7,7_장승배기,7:main,False,False,,,1,False
216,신대방삼거리,신대방삼거리,신대방삼거리역,7,7_신대방삼거리,7:main,False,False,,,1,False
217,보라매,보라매,보라매역,7,7_보라매,7:main,False,False,,,1,False
218,신풍,신풍,신풍역,7,7_신풍,7:main,False,False,,,1,False
219,남구로,남구로,남구로역,7,7_남구로,7:main,False,False,,,1,False
220,가산디지털단지,가산디지털단지,가산디지털단지역,7,7_가산디지털단지,7:main,False,False,,,1,False
221,철산,철산,철산역,7,7_철산,7:main,False,False,,,1,False
222,광명사거리,광명사거리,광명사거리역,7,7_광명사거리,7:main,False,False,,,1,False
223,천왕,천왕,천왕역,7,7_천왕,7:main,False,False,,,1,False
224,온수,온수,온수역,7,7_온수,7:main,False,False,,,1,False
225,암사역사공원,암사역사공원,암사역사공원역,8,8_암사역사공원,8:main,False,False,,,1,False
226,암사,암사,암사역,8,8_암사,8:main,False,False,,,1,False
227,강동구청,강동구청,강동구청역,8,8_강동구청,8:main,False,False,,,1,False
228,몽촌토성,몽촌토성,몽촌토성역,8,8_몽촌토성,8:main,False,False,,,1,False
229,석촌,석촌,석촌역,8,8_석촌,8:main,False,False,,,1,False
230,송파,송파,송파역,8,8_송파,8:main,False,False,,,1,False
231,문정,문정,문정역,8,8_문정,8:main,False,False,,,1,False
232,장지,장지,장지역,8,8_장지,8:main,False,False,,,1,False
233,복정,복정,복정역,8,8_복정,8:main,False,False,,,1,False
234,남위례,남위례,남위례역,8,8_남위례,8:main,False,False,,,1,False
235,산성,산성,산성역,8,8_산성,8:main,False,False,,,1,False
236,남한산성입구,남한산성입구,남한산성입구역,8,8_남한산성입구,8:main,False,False,,,1,False
237,단대오거리,단대오거리,단대오거리역,8,8_단대오거리,8:main,False,False,,,1,False
238,신흥,신흥,신흥역,8,8_신흥,8:main,False,False,,,1,False
239,수진,수진,수진역,8,8_수진,8:main,False,False,,,1,False
240,모란,모란,모란역,8,8_모란,8:main,False,False,,,1,False
