mark_status,visual_node_no,visual_node_id,station_key,station_name,display_name,line_id,branch_codes,x_px,y_px,x_pct,y_pct,marker_radius_px,is_transfer_station,is_branch_node,label_owner,alias_or_note,memo
완료,79,옥수_L3,옥수,옥수,옥수역,3,main,2480,1636,48.4375,56.80555555555556,10,False,False,True,,
완료,80,압구정_L3,압구정,압구정,압구정역,3,main,2480,1760,48.4375,61.111111111111114,10,False,False,True,,
완료,81,신사_L3,신사,신사,신사역,3,main,2480,1828,48.4375,63.47222222222222,10,False,False,True,,
완료,82,잠원_L3,잠원,잠원,잠원역,3,main,2480,1884,48.4375,65.41666666666667,10,False,False,True,,
완료,83,고속터미널_L3,고속터미널,고속터미널,고속터미널역,3,main,2480,1964,48.4375,68.19444444444444,12,True,False,True,,
완료,84,남부터미널_L3,남부터미널,남부터미널,남부터미널역,3,main,2480,2252,48.4375,78.19444444444444,10,False,False,True,,
완료,85,양재_L3,양재,양재,양재역,3,main,2616,2252,51.09375000000001,78.19444444444444,10,False,False,True,,
완료,86,매봉_L3,매봉,매봉,매봉역,3,main,2696,2252,52.65625000000001,78.19444444444444,10,False,False,True,,
완료,87,도곡_L3,도곡,도곡,도곡역,3,main,2776,2252,54.21875000000001,78.19444444444444,10,False,False,True,,
완료,88,대치_L3,대치,대치,대치역,3,main,2860,2252,55.859375,78.19444444444444,10,False,False,True,,
완료,89,학여울_L3,학여울,학여울,학여울역,3,main,2944,2252,57.49999999999999,78.19444444444444,10,False,False,True,,
완료,90,대청_L3,대청,대청,대청역,3,main,3028,2252,59.140625,78.19444444444444,10,False,False,True,,
완료,91,일원_L3,일원,일원,일원역,3,main,3112,2252,60.78125,78.19444444444444,10,False,False,True,,
완료,92,수서_L3,수서,수서,수서역,3,main,3232,2328,63.125,80.83333333333333,10,False,False,True,,
완료,93,가락시장_L3,가락시장,가락시장,가락시장역,3,main,3300,2140,64.453125,74.30555555555556,12,True,False,True,,
완료,94,경찰병원_L3,경찰병원,경찰병원,경찰병원역,3,main,3584,2140,70.0,74.30555555555556,10,False,False,True,,
완료,95,오금_L3,오금,오금,오금역,3,main,3862,2140,75.4296875,74.30555555555556,12,True,True,True,,
완료,96,서울역_L4,서울역,서울역,서울역,4,main,1916,1308,37.421875,45.416666666666664,12,True,False,False,,
완료,97,동대문_L4,동대문,동대문,동대문역,4,main,2328,980,45.46875,34.02777777777778,12,True,False,False,,
완료,98,동대문역사문화공원_L4,동대문역사문화공원,동대문역사문화공원,동대문역사문화공원역,4,main,2328,1144,45.46875,39.72222222222222,12,True,False,False,동대문역사문화공원(DDP),
완료,99,사당_L4,사당,사당,사당역,4,main,2200,2116,42.96875,73.47222222222223,12,True,False,False,,
완료,100,충무로_L4,충무로,충무로,충무로역,4,main,2328,1244,45.46875,43.19444444444444,12,True,False,False,,
완료,101,불암산_L4,불암산,불암산,불암산역,4,main,3744,356,73.125,12.36111111111111,10,False,True,True,당고개,
완료,102,상계_L4,상계,상계,상계역,4,main,3604,356,70.390625,12.36111111111111,10,False,False,True,,
완료,103,노원_L4,노원,노원,노원역,4,main,3464,356,67.65625,12.36111111111111,12,True,False,True,,
완료,104,창동_L4,창동,창동,창동역,4,main,3324,458,64.921875,15.902777777777777,10,False,False,True,,
완료,105,쌍문_L4,쌍문,쌍문,쌍문역,4,main,3194,554,62.38281249999999,19.23611111111111,10,False,False,True,,
완료,106,수유_L4,수유,수유,수유역,4,main,3064,648,59.84374999999999,22.5,10,False,False,True,,
완료,107,미아_L4,미아,미아,미아역,4,main,2908,648,56.796875,22.5,10,False,False,True,,
완료,108,미아사거리_L4,미아사거리,미아사거리,미아사거리역,4,main,2752,648,53.75,22.5,10,False,False,True,,
완료,109,길음_L4,길음,길음,길음역,4,main,2596,648,50.70312500000001,22.5,10,False,False,True,,
완료,110,성신여대입구_L4,성신여대입구,성신여대입구,성신여대입구역,4,main,2440,648,47.65625,22.5,10,False,False,True,,
완료,111,한성대입구_L4,한성대입구,한성대입구,한성대입구역,4,main,2328,772,45.46875,26.805555555555554,10,False,False,True,,
완료,112,혜화_L4,혜화,혜화,혜화역,4,main,2328,876,45.46875,30.416666666666664,10,False,False,True,,
완료,113,명동_L4,명동,명동,명동역,4,main,2192,1308,42.8125,45.416666666666664,10,False,False,True,,
완료,114,회현_L4,회현,회현,회현역,4,main,2076,1308,40.546875,45.416666666666664,10,False,False,True,,
완료,115,숙대입구_L4,숙대입구,숙대입구,숙대입구역,4,main,1940,1392,37.890625,48.333333333333336,10,False,False,True,숙대입구(갈월),
완료,116,삼각지_L4,삼각지,삼각지,삼각지역,4,main,1940,1476,37.890625,51.24999999999999,12,True,False,True,,
완료,117,신용산_L4,신용산,신용산,신용산역,4,main,2008,1560,39.21875,54.166666666666664,10,False,False,True,,
완료,118,이촌_L4,이촌,이촌,이촌역,4,main,2072,1632,40.46875,56.666666666666664,10,False,False,True,,
완료,119,동작_L4,동작,동작,동작역,4,main,2200,1750,42.96875,60.763888888888886,10,False,False,True,,
완료,120,이수_L4,이수,이수,이수역,4,main,2200,1964,42.96875,68.19444444444444,12,True,False,True,총신대입구(이수),
완료,121,남태령_L4,남태령,남태령,남태령역,4,main,2200,2252,42.96875,78.19444444444444,10,False,True,True,,
완료,122,종로3가_L5,종로3가,종로3가,종로3가역,5,common,2084,980,40.703125,34.02777777777778,12,True,False,False,,
완료,123,을지로4가_L5,을지로4가,을지로4가,을지로4가역,5,common,2200,1144,42.96875,39.72222222222222,12,True,False,False,,
완료,124,동대문역사문화공원_L5,동대문역사문화공원,동대문역사문화공원,동대문역사문화공원역,5,common,2328,1144,45.46875,39.72222222222222,12,True,False,False,동대문역사문화공원(DDP),
완료,125,왕십리_L5,왕십리,왕십리,왕십리역,5,common,2740,1144,53.515625,39.72222222222222,12,True,False,False,,
완료,126,영등포구청_L5,영등포구청,영등포구청,영등포구청역,5,common,1424,1660,27.8125,57.638888888888886,12,True,False,False,,
완료,127,충정로_L5,충정로,충정로,충정로역,5,common,1752,1144,34.21875,39.72222222222222,12,True,False,False,,
완료,128,까치산_L5,까치산,까치산,까치산역,5,common,1108,1348,21.640625,46.80555555555556,12,True,False,False,,
완료,129,오금_L5,오금,오금,오금역,5,macheon_branch,3862,2140,75.4296875,74.30555555555556,12,True,False,False,,
완료,130,방화_L5,방화,방화,방화역,5,common,788,828,15.390625,28.749999999999996,10,False,True,True,,
완료,131,개화산_L5,개화산,개화산,개화산역,5,common,788,900,15.390625,31.25,10,False,False,True,,
완료,132,김포공항_L5,김포공항,김포공항,김포공항역,5,common,788,972,15.390625,33.75,10,False,False,True,,
완료,133,송정_L5,송정,송정,송정역,5,common,828,1066,16.171875,37.01388888888889,10,False,False,True,,
완료,134,마곡_L5,마곡,마곡,마곡역,5,common,880,1120,17.1875,38.88888888888889,10,False,False,True,,
완료,135,발산_L5,발산,발산,발산역,5,common,938,1176,18.3203125,40.833333333333336,10,False,False,True,,
완료,136,우장산_L5,우장산,우장산,우장산역,5,common,996,1234,19.453125,42.84722222222222,10,False,False,True,,
완료,137,화곡_L5,화곡,화곡,화곡역,5,common,1054,1296,20.5859375,45.0,10,False,False,True,,
완료,138,신정_L5,신정,신정,신정역,5,common,1180,1420,23.046875,49.30555555555556,10,False,False,True,,
완료,139,목동_L5,목동,목동,목동역,5,common,1240,1476,24.21875,51.24999999999999,10,False,False,True,,
완료,140,오목교_L5,오목교,오목교,오목교역,5,common,1296,1536,25.3125,53.333333333333336,10,False,False,True,,
완료,141,양평_L5,양평,양평,양평역,5,common,1356,1594,26.484375,55.34722222222223,10,False,False,True,,
완료,142,영등포시장_L5,영등포시장,영등포시장,영등포시장역,5,common,1504,1740,29.375,60.416666666666664,10,False,False,True,,
완료,143,신길_L5,신길,신길,신길역,5,common,1600,1832,31.25,63.61111111111111,10,False,False,True,,
완료,144,여의도_L5,여의도,여의도,여의도역,5,common,1684,1750,32.890625,60.763888888888886,10,False,False,True,,
완료,145,여의나루_L5,여의나루,여의나루,여의나루역,5,common,1752,1676,34.21875,58.19444444444445,10,False,False,True,,
완료,146,마포_L5,마포,마포,마포역,5,common,1752,1576,34.21875,54.72222222222223,10,False,False,True,,
완료,147,공덕_L5,공덕,공덕,공덕역,5,common,1752,1476,34.21875,51.24999999999999,12,True,False,True,,
완료,148,애오개_L5,애오개,애오개,애오개역,5,common,1752,1308,34.21875,45.416666666666664,10,False,False,True,,
완료,149,서대문_L5,서대문,서대문,서대문역,5,common,1752,980,34.21875,34.02777777777778,10,False,False,True,,
완료,150,광화문_L5,광화문,광화문,광화문역,5,common,1916,980,37.421875,34.02777777777778,10,False,False,True,광화문(세종문화회관),
완료,151,청구_L5,청구,청구,청구역,5,common,2528,1244,49.375,43.19444444444444,12,True,False,True,,
